gender,race/ethnicity,parental level of education,lunch,test preparation course,m1 score,m2 score,physics score,m3 score,m4 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score
female,group D,master's degree,standard,none,62,70,75,65,63,100,77,88,53,46,85,51,96,41,83,37,40,100,89,40,87
female,group D,some college,standard,none,69,74,74,100,70,80,42,50,58,48,36,94,70,86,50,51,76,64,84,51,41
female,group B,some college,standard,none,63,65,61,38,97,82,98,46,44,69,71,72,87,56,98,71,83,40,79,36,99
female,group E,master's degree,free/reduced,none,56,72,65,64,82,83,88,54,90,47,66,47,72,79,85,46,78,82,54,58,91
male,group D,some college,standard,none,40,42,38,88,88,53,57,57,83,39,98,36,69,96,77,35,92,45,67,44,98
male,group E,some college,standard,none,97,87,82,70,99,85,67,69,56,54,51,90,84,44,56,38,97,91,41,70,63
male,group E,associate's degree,standard,completed,81,81,79,71,43,92,54,64,78,40,85,90,46,98,98,78,55,48,92,42,35
female,group D,associate's degree,standard,none,74,81,83,58,80,52,85,39,75,58,84,81,48,36,53,44,45,63,39,70,36
female,group D,some high school,free/reduced,none,50,64,59,62,92,61,74,91,79,85,88,35,38,55,51,91,40,61,47,42,49
female,group D,associate's degree,free/reduced,completed,75,90,88,77,93,99,96,35,58,39,88,41,99,51,97,93,82,51,96,68,88
male,group B,associate's degree,free/reduced,none,57,56,57,71,70,91,71,71,36,84,97,82,75,96,51,49,78,94,64,67,93
male,group C,associate's degree,free/reduced,none,55,61,54,72,75,38,82,43,96,70,40,99,78,49,65,60,37,97,69,98,55
female,group C,associate's degree,standard,none,58,73,68,75,44,35,57,94,41,41,59,47,60,68,70,74,84,45,70,83,57
female,group B,associate's degree,standard,none,53,58,65,69,50,76,83,63,51,46,53,63,45,44,68,90,88,42,55,49,52
male,group B,some college,free/reduced,completed,59,65,66,86,87,62,86,67,55,73,37,99,53,63,40,59,41,55,53,58,46
female,group E,associate's degree,free/reduced,none,50,56,54,43,85,49,83,71,85,44,45,96,75,59,54,61,95,83,93,73,52
male,group B,associate's degree,standard,none,65,54,57,62,62,97,46,50,90,76,39,76,79,73,81,47,46,41,48,90,66
female,group A,associate's degree,standard,completed,55,65,62,73,92,94,100,58,79,51,40,94,50,54,44,68,43,50,84,77,49
female,group C,high school,standard,none,66,71,76,38,61,84,83,95,65,44,90,57,77,76,71,46,62,38,91,80,71
female,group D,associate's degree,free/reduced,completed,57,74,76,38,36,68,56,45,58,71,76,67,74,73,60,92,82,77,97,90,78
male,group C,high school,standard,completed,82,84,82,83,44,57,58,61,75,84,47,71,93,36,83,78,95,57,89,58,48
male,group E,some college,standard,none,53,55,48,83,66,83,88,93,61,44,86,93,86,68,41,77,94,66,72,50,48
male,group E,associate's degree,free/reduced,completed,77,69,68,100,56,86,72,53,42,55,72,74,64,71,73,59,57,68,88,44,91
male,group C,some college,standard,none,53,44,42,87,66,74,58,63,77,56,97,57,55,62,100,96,81,92,80,56,47
male,group D,high school,standard,none,88,78,75,77,96,97,52,41,84,38,79,72,44,48,94,54,41,38,43,82,59
female,group C,some high school,free/reduced,completed,71,84,87,49,72,43,45,84,48,94,57,46,35,42,99,58,83,52,85,86,66
female,group C,high school,free/reduced,none,33,41,43,87,96,59,39,84,52,41,46,50,98,75,56,91,96,84,95,90,61
female,group E,associate's degree,standard,completed,82,85,86,70,49,90,97,53,83,80,84,77,72,76,84,68,90,36,39,87,59
male,group D,associate's degree,standard,none,52,55,49,41,62,39,81,51,95,100,49,70,57,62,66,90,92,97,66,63,61
male,group D,some college,standard,completed,58,59,58,49,95,45,98,60,59,90,52,85,64,70,97,96,37,40,59,84,48
female,group C,some high school,free/reduced,none,0,17,10,79,88,38,35,64,81,82,40,39,45,69,93,43,81,99,39,81,66
male,group E,bachelor's degree,free/reduced,completed,79,74,72,43,42,77,75,74,73,77,37,85,92,66,47,43,60,43,60,37,100
male,group A,some high school,free/reduced,none,39,39,34,70,84,96,64,39,65,49,93,95,77,46,81,62,79,95,49,89,96
male,group A,associate's degree,free/reduced,none,62,61,55,44,79,71,86,91,90,86,88,48,65,87,44,93,90,66,93,88,52
female,group C,associate's degree,standard,none,69,80,71,70,87,87,45,81,65,99,93,84,60,77,37,75,66,71,69,92,100
female,group D,some high school,standard,none,59,58,59,85,99,89,85,38,91,42,56,79,49,54,71,79,72,99,82,57,96
male,group B,some high school,standard,none,67,64,61,45,83,44,51,58,40,87,68,72,37,47,84,66,78,90,81,70,46
male,group D,some high school,free/reduced,none,45,37,37,100,60,77,50,64,72,56,86,85,52,78,45,44,48,73,67,64,37
female,group C,some college,standard,none,60,72,74,35,55,50,39,72,74,37,71,71,94,39,56,46,40,43,60,49,87
male,group B,associate's degree,free/reduced,none,61,58,56,50,46,57,37,84,38,86,67,83,65,47,77,53,73,95,55,66,95
female,group C,associate's degree,standard,none,39,64,57,43,59,59,78,99,50,60,82,71,97,42,57,55,56,55,66,98,55
female,group D,some college,free/reduced,completed,58,63,73,69,67,100,97,53,71,73,75,67,99,49,35,97,60,95,97,84,68
male,group D,some college,standard,completed,63,55,63,87,35,40,63,83,59,39,77,78,76,83,77,59,62,53,55,36,49
female,group A,associate's degree,free/reduced,none,41,51,48,46,84,67,48,73,96,83,43,85,79,73,85,41,87,44,45,72,90
male,group C,some high school,free/reduced,none,61,57,56,89,43,93,75,46,50,43,59,46,73,90,39,75,50,87,48,81,86
male,group C,some high school,standard,none,49,49,41,99,96,100,79,71,85,85,88,49,44,51,49,52,84,44,69,82,87
male,group B,associate's degree,free/reduced,none,44,41,38,37,100,79,97,74,54,46,97,87,63,78,66,58,74,82,80,66,68
male,group E,some high school,standard,none,30,26,22,76,74,58,73,65,39,85,70,91,36,67,83,82,65,46,89,61,75
male,group A,bachelor's degree,standard,completed,80,78,81,93,60,48,90,53,98,85,70,58,71,53,86,43,61,60,69,43,55
female,group D,some high school,standard,completed,61,74,72,76,48,58,85,86,79,88,83,99,65,83,89,84,36,100,55,94,86
female,group E,master's degree,standard,none,62,68,68,44,59,44,86,43,96,83,70,41,42,98,36,64,57,45,89,69,72
female,group B,associate's degree,standard,none,47,49,50,92,42,35,52,90,45,44,71,52,45,65,85,70,62,87,65,80,65
male,group B,high school,free/reduced,none,49,45,45,74,80,40,48,88,89,43,74,55,95,71,65,78,78,60,75,42,37
male,group A,some college,free/reduced,completed,50,47,54,61,87,41,69,81,58,74,69,53,96,49,61,53,54,64,84,93,61
male,group E,associate's degree,standard,none,72,64,63,43,92,61,99,80,43,40,99,60,100,45,37,70,56,47,99,37,37
male,group D,high school,free/reduced,none,42,39,34,51,74,94,67,35,45,54,38,43,58,70,78,45,79,97,72,69,71
female,group C,some college,standard,none,73,80,82,38,36,82,81,40,51,43,96,85,83,46,66,84,54,40,43,84,38
female,group C,some college,free/reduced,none,76,83,88,53,89,76,77,55,46,76,69,63,68,96,67,36,40,43,48,53,99
female,group D,associate's degree,standard,none,71,71,74,86,76,100,79,44,44,38,52,50,71,41,48,51,77,86,52,64,70
female,group A,some college,standard,none,58,70,67,76,43,65,42,45,64,65,88,49,75,97,62,92,88,47,84,48,39
female,group D,some high school,standard,none,73,86,82,37,37,81,87,94,89,99,47,63,73,85,47,83,64,82,42,90,52
female,group C,bachelor's degree,standard,none,65,72,74,57,65,35,35,50,78,47,71,74,93,100,97,44,36,43,36,98,67
male,group C,high school,free/reduced,none,27,34,36,90,72,66,92,82,44,93,88,88,81,59,54,51,69,59,79,70,87
male,group C,high school,standard,none,71,79,71,70,80,77,91,65,85,66,84,78,72,39,71,72,74,74,85,94,38
male,group C,associate's degree,free/reduced,completed,43,45,50,69,93,53,44,93,97,42,61,65,35,45,47,56,53,65,84,38,57
female,group B,some college,standard,none,79,86,92,71,58,55,73,79,43,54,99,63,48,96,51,93,54,44,50,91,79
male,group C,associate's degree,free/reduced,completed,78,81,82,41,94,38,97,74,76,68,57,95,60,50,65,44,72,67,79,79,87
male,group B,some high school,standard,completed,65,66,62,49,36,44,87,45,63,36,50,65,36,37,56,91,45,80,72,97,98
female,group E,some college,standard,completed,63,72,70,55,58,83,36,66,71,35,44,93,68,40,83,65,92,79,47,49,46
female,group D,some college,free/reduced,none,58,67,62,84,43,90,40,53,91,42,38,77,82,63,70,73,87,53,100,69,61
female,group D,bachelor's degree,standard,none,65,67,62,46,74,55,56,40,89,52,90,100,93,41,48,98,84,73,66,85,61
male,group B,some college,standard,none,79,67,67,47,44,66,63,86,47,58,75,56,55,97,99,37,84,39,99,83,60
male,group D,bachelor's degree,standard,completed,68,74,74,42,52,54,35,84,56,41,70,70,71,82,46,65,54,99,85,57,45
female,group D,associate's degree,standard,none,85,91,89,56,81,78,78,99,50,65,71,57,81,35,42,86,67,35,62,47,82
male,group B,high school,standard,completed,60,44,47,64,99,81,37,95,61,57,76,39,97,58,50,42,64,60,73,96,83
male,group C,some college,standard,completed,98,86,90,88,82,98,46,95,73,99,44,99,89,83,77,56,93,62,51,71,81
female,group C,some college,standard,none,58,67,72,51,53,68,67,69,63,58,35,94,39,95,60,75,62,100,56,100,43
female,group D,master's degree,standard,none,87,100,100,77,41,70,87,62,99,80,51,68,38,41,74,65,79,62,50,46,68
male,group E,associate's degree,standard,completed,66,63,64,48,81,82,100,45,85,87,51,76,65,42,40,52,62,91,51,75,74
female,group B,associate's degree,free/reduced,none,52,76,70,49,79,73,36,36,91,95,51,35,64,97,55,60,64,91,96,82,64
female,group B,some high school,standard,none,70,64,72,72,85,42,68,60,77,38,93,77,97,81,64,68,53,74,79,59,89
female,group D,associate's degree,free/reduced,completed,77,89,98,45,86,56,52,74,64,40,88,88,67,78,39,51,97,48,73,85,71
male,group C,high school,standard,none,62,55,49,100,89,35,41,57,91,88,99,46,62,93,100,76,78,89,44,46,81
male,group A,associate's degree,standard,none,54,53,47,76,82,44,94,67,81,80,73,100,87,35,49,45,91,77,59,95,65
female,group D,some college,standard,none,51,58,54,62,48,42,77,80,63,37,57,38,86,67,48,46,43,97,100,44,53
female,group E,bachelor's degree,standard,completed,99,100,100,86,87,65,74,37,69,59,58,60,62,57,84,99,48,69,91,99,74
male,group C,high school,standard,none,84,77,74,36,80,48,85,50,48,64,87,92,58,71,89,72,49,78,50,95,41
female,group B,bachelor's degree,free/reduced,none,75,85,82,71,81,43,35,67,53,92,58,70,62,89,73,73,76,39,97,76,77
female,group D,bachelor's degree,standard,none,78,82,79,84,62,41,94,72,64,77,50,74,92,46,63,64,71,97,39,79,56
female,group D,some high school,standard,none,51,63,61,98,61,97,80,41,78,55,69,70,66,92,38,91,92,62,53,84,81
female,group C,some college,standard,none,55,69,65,85,91,80,57,59,83,47,58,61,77,35,83,59,81,77,83,79,76
female,group C,bachelor's degree,standard,completed,79,92,89,86,93,47,84,83,67,44,89,42,49,91,53,68,88,76,40,35,62
male,group B,associate's degree,standard,completed,91,89,92,75,67,61,52,73,59,68,93,51,41,82,74,54,43,86,70,77,51
female,group C,some college,standard,completed,88,93,93,66,74,40,52,94,45,49,98,65,77,94,50,63,45,67,94,72,84
male,group D,high school,free/reduced,none,63,57,56,50,56,97,64,94,71,35,53,38,35,53,94,91,98,91,62,52,96
male,group E,some college,standard,none,83,80,73,100,79,56,76,41,52,95,43,52,44,82,48,36,38,44,51,74,52
female,group B,high school,standard,none,87,95,86,79,42,72,88,65,42,69,86,45,51,57,77,100,80,64,69,93,56
male,group B,some high school,standard,none,72,68,67,35,52,98,65,69,74,92,72,59,70,36,89,85,58,36,93,69,45
male,group D,some college,standard,completed,65,77,74,80,76,44,57,72,69,81,85,87,70,47,76,37,100,86,36,87,57
male,group D,master's degree,standard,none,82,82,74,58,62,40,89,68,67,43,80,55,69,50,53,100,66,55,85,84,50
female,group A,bachelor's degree,standard,none,51,49,51,67,39,38,95,46,91,67,88,47,98,49,45,68,35,86,58,86,72
male,group D,master's degree,standard,none,89,84,82,93,49,47,87,62,39,56,81,72,87,48,68,86,35,80,56,52,40
male,group C,some high school,free/reduced,completed,53,37,40,72,88,97,81,100,79,86,52,73,85,79,75,93,59,100,50,65,96
male,group E,some college,free/reduced,completed,87,74,70,77,35,48,58,82,86,88,90,71,79,69,43,75,66,79,35,77,98
female,group C,some college,standard,completed,75,81,84,82,73,48,93,51,55,94,70,40,53,39,89,48,68,47,49,39,51
male,group D,bachelor's degree,free/reduced,completed,74,79,75,81,91,68,35,78,78,65,65,73,46,98,61,68,78,81,59,66,80
male,group C,bachelor's degree,standard,none,58,55,48,99,44,94,76,68,76,42,93,51,75,60,44,41,76,71,73,57,50
male,group B,some high school,standard,completed,51,54,41,67,90,83,51,35,40,59,70,35,35,46,63,37,35,60,59,51,86
male,group E,high school,standard,none,70,55,56,69,38,45,91,96,55,69,70,60,65,62,49,98,64,42,100,60,76
female,group C,associate's degree,standard,none,59,66,67,65,37,58,95,98,54,57,72,44,66,50,74,85,87,91,81,83,40
male,group D,some college,standard,completed,71,61,69,44,47,88,68,37,57,43,72,93,70,57,62,62,48,92,54,46,79
female,group D,some high school,standard,none,76,72,71,90,40,74,95,76,40,89,52,74,44,99,91,74,55,91,47,83,93
female,group C,some college,free/reduced,none,59,62,64,77,69,99,40,88,73,40,85,60,86,57,37,57,68,100,74,43,47
female,group E,some college,free/reduced,completed,42,55,54,84,58,67,37,88,98,76,71,84,68,72,73,68,85,95,53,84,48
male,group A,high school,standard,none,57,43,47,62,72,96,47,100,48,56,65,61,92,63,66,80,42,63,87,67,76
male,group D,some college,standard,none,88,73,78,99,53,85,83,81,89,60,55,92,54,77,64,43,97,55,44,98,82
female,group C,some college,free/reduced,none,22,39,33,45,71,100,88,97,58,79,80,74,41,81,76,37,83,48,70,74,65
male,group B,some high school,standard,none,88,84,75,93,97,35,72,43,86,87,53,42,86,43,91,93,94,51,67,86,87
male,group C,associate's degree,free/reduced,none,73,68,66,96,61,91,79,41,51,54,89,75,52,58,58,98,60,68,72,46,69
female,group D,bachelor's degree,standard,completed,68,75,81,62,98,99,70,97,78,42,59,55,79,65,94,57,56,38,48,50,93
male,group E,associate's degree,free/reduced,completed,100,100,93,89,71,79,49,73,92,66,68,95,76,65,51,53,62,49,76,40,86
male,group A,some high school,standard,completed,62,67,69,40,65,81,50,61,66,80,88,77,58,76,94,82,58,78,54,45,38
male,group A,bachelor's degree,standard,none,77,67,68,99,76,71,46,74,78,72,58,54,93,43,57,49,99,72,65,70,72
female,group B,associate's degree,standard,completed,59,70,66,78,73,58,69,53,35,70,97,91,84,84,90,59,79,73,38,59,64
male,group D,bachelor's degree,standard,none,54,49,47,58,80,44,63,91,62,96,74,93,55,70,54,76,57,37,92,85,35
male,group D,some high school,standard,none,62,67,61,45,40,68,92,98,64,84,67,95,66,51,57,93,41,36,41,78,78
female,group C,some college,standard,completed,70,89,88,78,51,87,41,57,55,37,100,87,74,54,68,67,67,58,75,77,41
female,group E,high school,free/reduced,completed,66,74,78,66,40,64,86,55,47,66,90,71,72,75,50,87,79,41,57,92,53
male,group B,some college,free/reduced,none,60,60,60,53,40,40,53,63,45,70,49,45,64,47,92,41,49,78,44,66,90
female,group B,associate's degree,standard,completed,61,86,87,44,53,49,86,40,48,41,64,76,75,45,83,35,47,88,36,100,55
male,group D,associate's degree,free/reduced,none,66,62,64,56,63,40,77,62,80,77,61,49,57,68,100,61,48,72,81,99,53
male,group B,associate's degree,free/reduced,completed,82,78,74,62,85,73,56,47,59,70,38,90,69,71,67,92,57,35,70,71,92
female,group E,some college,free/reduced,completed,75,88,85,42,81,97,72,79,87,88,99,36,78,95,91,42,72,96,49,74,51
male,group B,master's degree,free/reduced,none,49,53,52,44,43,39,54,99,95,39,36,69,99,38,79,46,62,90,62,67,40
male,group C,high school,standard,none,52,53,49,36,38,78,95,90,70,77,90,59,64,93,77,80,41,89,44,50,97
female,group E,master's degree,standard,none,81,92,91,75,70,70,74,60,61,94,82,62,55,77,98,91,35,69,95,38,86
female,group C,bachelor's degree,standard,completed,96,100,100,96,42,70,91,89,40,45,74,57,55,67,87,50,49,52,93,78,49
male,group C,high school,free/reduced,completed,53,51,51,95,38,80,42,87,66,96,93,54,92,35,93,84,75,95,56,43,35
female,group B,master's degree,free/reduced,completed,58,76,78,86,98,46,69,38,46,83,91,98,74,86,92,90,84,45,62,70,94
female,group B,high school,standard,completed,68,83,78,100,56,90,72,52,39,54,93,67,85,56,83,60,47,51,40,45,71
female,group C,some college,free/reduced,completed,67,75,70,76,52,56,37,64,80,75,41,74,36,66,43,97,48,42,81,72,87
male,group A,high school,standard,completed,72,73,74,55,70,72,48,61,52,40,84,76,61,64,70,73,67,92,54,45,82
male,group E,some high school,standard,none,94,88,78,68,48,62,66,46,40,79,58,70,83,61,96,47,78,49,78,49,72
female,group D,some college,standard,none,79,86,81,70,71,53,35,79,42,73,43,90,39,61,40,68,38,75,55,81,99
female,group C,associate's degree,standard,none,63,67,70,73,93,51,58,97,80,96,53,76,84,58,61,90,81,94,63,54,46
female,group C,bachelor's degree,free/reduced,completed,43,51,54,59,38,35,65,51,63,81,89,67,49,36,43,98,83,75,35,36,56
female,group C,master's degree,standard,completed,81,91,87,37,91,88,66,89,70,55,85,63,92,71,48,35,88,47,46,68,44
female,group B,high school,free/reduced,completed,46,54,58,54,95,73,77,90,95,44,74,95,58,59,89,90,67,59,35,65,81
female,group C,associate's degree,standard,completed,71,77,77,53,97,82,61,100,94,98,44,60,78,45,89,89,50,99,37,79,53
female,group B,master's degree,free/reduced,completed,52,70,62,94,50,48,66,100,66,91,85,84,66,93,64,50,76,86,57,63,70
female,group D,some high school,standard,completed,97,100,100,49,55,84,48,49,36,42,55,71,36,79,84,58,47,91,72,44,75
male,group C,master's degree,free/reduced,completed,62,68,75,45,71,97,99,47,94,89,96,48,89,55,73,89,42,69,80,66,95
female,group C,some college,free/reduced,none,46,64,66,51,68,38,67,46,99,99,93,88,88,49,35,79,71,96,35,70,36
female,group E,high school,standard,none,50,50,47,76,46,99,84,55,62,57,68,67,49,55,67,94,73,58,99,89,92
female,group D,associate's degree,standard,none,65,69,70,59,37,99,38,62,99,74,89,85,57,76,61,96,41,58,77,39,39
male,group C,some high school,free/reduced,completed,45,52,49,76,92,54,65,38,83,66,89,55,84,46,86,43,83,75,37,78,64
male,group C,associate's degree,free/reduced,completed,65,67,65,55,88,78,51,46,67,95,45,68,53,65,95,69,73,38,52,51,54
male,group E,high school,standard,none,80,76,65,55,51,46,82,47,91,92,42,75,77,99,67,82,51,53,79,62,67
male,group D,some high school,standard,completed,62,66,68,64,59,71,51,81,43,52,64,58,57,35,67,98,64,72,49,88,68
male,group B,some high school,free/reduced,none,48,52,45,42,47,45,90,58,46,49,68,63,38,89,63,78,38,95,80,67,56
female,group C,bachelor's degree,standard,none,77,88,87,41,68,87,62,58,93,78,37,37,59,55,55,54,66,95,41,72,59
female,group E,associate's degree,standard,none,66,65,69,70,91,40,43,92,79,72,100,84,53,48,57,38,35,92,80,73,85
male,group D,some college,standard,completed,76,83,79,76,74,45,85,66,41,36,47,73,91,39,59,40,94,56,62,93,83
female,group B,some high school,standard,none,62,64,66,63,39,85,39,74,39,87,61,68,64,62,77,85,76,46,53,55,38
male,group D,some college,standard,completed,77,62,62,55,52,57,54,63,97,56,100,88,90,43,50,57,87,68,77,52,45
female,group C,master's degree,standard,completed,69,84,85,93,98,96,66,89,46,59,77,59,88,95,40,54,50,78,43,60,39
male,group D,associate's degree,standard,none,61,55,52,57,69,79,36,42,69,100,40,74,93,61,85,69,94,75,62,83,50
male,group C,some high school,free/reduced,completed,59,69,65,85,42,75,41,91,85,90,70,93,42,98,100,63,58,94,73,60,90
male,group E,high school,free/reduced,none,55,56,51,90,47,51,39,76,92,76,65,35,67,85,55,77,46,36,95,91,74
female,group B,some college,free/reduced,none,45,53,55,97,72,67,100,81,98,58,95,82,37,53,45,69,68,94,44,69,90
female,group B,bachelor's degree,free/reduced,none,78,79,76,82,63,57,66,86,68,59,85,98,81,94,69,46,55,79,58,77,45
female,group C,associate's degree,standard,completed,67,84,86,90,71,70,67,75,99,96,74,70,71,37,52,89,44,57,88,35,66
female,group D,some college,free/reduced,none,65,81,77,59,93,81,45,87,64,99,35,99,66,79,91,50,35,77,72,76,42
male,group C,associate's degree,standard,none,69,77,69,97,43,78,97,43,90,93,78,38,63,49,84,62,72,91,52,90,60
female,group B,associate's degree,standard,none,57,69,68,48,85,44,72,47,55,83,51,75,93,93,51,66,50,77,99,90,72
male,group C,some college,standard,none,59,41,42,68,86,51,76,75,94,78,84,92,39,46,60,55,63,70,71,98,97
male,group D,some high school,standard,completed,74,71,78,75,35,79,55,95,89,36,48,41,43,76,47,97,44,78,85,75,93
male,group E,bachelor's degree,standard,none,82,62,62,64,80,40,72,78,66,91,99,43,43,41,55,39,91,78,46,53,79
male,group E,high school,standard,completed,81,80,76,88,50,90,77,62,80,92,69,58,90,41,91,100,36,39,58,92,97
female,group B,some college,free/reduced,none,74,81,76,84,83,81,80,40,47,36,63,37,95,47,53,81,67,62,80,51,77
female,group B,some college,free/reduced,none,58,61,66,48,78,87,99,50,78,81,82,97,45,42,73,64,73,86,84,39,61
male,group D,some high school,free/reduced,completed,80,79,79,46,67,60,83,59,79,84,75,99,50,69,39,60,90,61,95,95,48
male,group C,some college,free/reduced,none,35,28,27,95,47,95,90,89,98,99,47,74,59,49,41,38,81,59,77,77,54
female,group C,high school,free/reduced,none,42,62,60,86,94,96,51,90,89,37,94,99,53,67,49,78,45,59,68,42,95
male,group C,associate's degree,free/reduced,completed,60,51,56,61,88,85,53,100,95,95,39,48,81,73,79,48,66,81,45,40,67
male,group E,high school,standard,completed,87,91,81,86,98,78,37,91,71,52,37,69,35,98,54,50,74,71,51,62,85
male,group B,some high school,standard,completed,84,83,75,40,48,81,94,57,36,100,47,59,47,41,76,46,56,56,81,90,61
female,group E,associate's degree,free/reduced,completed,83,86,88,94,46,91,81,62,56,62,59,82,59,62,82,48,41,44,79,65,53
female,group C,high school,free/reduced,none,34,42,39,79,39,63,71,61,68,63,46,36,58,78,57,98,47,35,47,91,89
male,group B,high school,free/reduced,none,66,77,70,55,62,45,51,79,87,72,67,60,46,70,60,52,41,40,71,46,64
male,group B,some high school,standard,completed,61,56,56,99,62,100,78,78,89,57,66,89,48,70,39,94,93,39,39,84,45
female,group D,high school,standard,completed,56,68,74,47,94,76,92,43,76,61,69,90,64,90,49,97,82,85,93,59,65
male,group B,associate's degree,standard,none,87,85,73,99,99,62,59,54,66,88,90,56,47,73,60,82,43,40,94,38,78
female,group C,some high school,free/reduced,none,55,65,62,79,51,57,44,57,92,59,95,47,54,59,45,55,59,82,73,83,69
male,group D,some high school,standard,none,86,80,75,54,40,35,64,46,98,44,100,67,68,83,46,45,90,89,81,74,44
female,group B,associate's degree,standard,completed,52,66,73,50,91,60,92,64,72,60,54,77,73,74,90,64,70,97,53,50,59
female,group E,master's degree,free/reduced,none,45,56,54,61,84,39,60,81,69,51,56,59,72,73,72,57,69,73,75,49,44
female,group C,some college,standard,none,72,72,71,49,91,90,99,75,38,81,61,93,48,40,95,88,69,61,39,70,80
male,group D,high school,standard,none,57,50,54,79,55,94,84,91,57,41,64,49,88,63,38,67,62,97,52,89,72
male,group A,some high school,free/reduced,none,68,72,64,60,37,46,83,70,93,94,97,99,60,79,55,83,65,50,35,82,54
female,group C,some college,standard,completed,88,95,94,51,66,87,71,47,94,74,37,91,37,45,75,58,59,91,94,43,79
male,group D,some college,standard,none,76,64,66,62,36,93,60,75,57,91,90,49,94,76,52,62,43,79,86,94,56
male,group C,associate's degree,standard,none,46,43,42,75,96,72,93,48,52,39,89,69,49,75,48,89,51,74,39,40,57
female,group B,bachelor's degree,standard,none,67,86,83,58,56,95,64,71,50,91,87,71,36,41,71,37,65,72,72,84,44
male,group E,some high school,standard,none,92,87,78,97,88,54,58,90,51,51,36,38,88,36,69,66,61,35,82,75,95
male,group C,bachelor's degree,standard,completed,83,82,84,42,60,45,61,93,82,90,84,49,43,58,68,95,69,78,71,87,40
male,group D,associate's degree,standard,none,80,75,77,97,98,93,64,89,55,70,55,82,54,100,64,54,35,53,95,86,42
