gender,race/ethnicity,parental level of education,lunch,test preparation course,,m1 score,physics score,m2 score,m3 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,SUB13,SUB14,SUB15,SUB16,SUB17,SUB18,SUB19,SUB20,SUB21,SUB22,SUB23,SUB24,SUB25,SUB26,SUB27,SUB28,SUB29,SUB30,SUB31,Result2,Result
male,group B,associate's degree,free/reduced,none,61,58,56,50,46,57,37,84,38,86,67,83,65,47,77,53,73,95,55,66,95,55,73,78,77,48,76,56,65,88,72,40,84,99,69,71,63,86,80,76,76,77,89,50,78,66,71,91,67,100,91,67,6,8
female,group C,associate's degree,standard,none,39,64,57,43,59,59,78,99,50,60,82,71,97,42,57,55,56,55,66,98,55,97,81,91,39,69,55,53,35,94,39,67,95,46,70,63,54,59,89,50,42,44,72,54,60,37,50,82,85,65,78,37,6,9
female,group D,some college,free/reduced,completed,58,63,73,69,67,100,97,53,71,73,75,67,99,49,35,97,60,95,97,84,68,93,40,75,97,46,64,76,36,57,54,71,38,51,64,52,55,36,63,40,44,64,50,37,73,71,54,35,79,90,41,85,6,0
male,group D,some college,standard,completed,63,55,63,87,35,40,63,83,59,39,77,78,76,83,77,59,62,53,55,36,49,82,62,56,100,69,45,89,84,68,66,42,46,70,89,51,75,53,98,79,66,59,90,93,75,93,45,67,94,83,52,81,6,1
female,group A,associate's degree,free/reduced,none,41,51,48,46,84,67,48,73,96,83,43,85,79,73,85,41,87,44,45,72,90,58,100,83,42,56,80,35,79,38,60,38,62,95,43,72,59,41,53,54,72,85,51,41,48,77,51,75,39,58,64,97,6,2
male,group C,some high school,free/reduced,none,61,57,56,89,43,93,75,46,50,43,59,46,73,90,39,75,50,87,48,81,86,70,58,69,41,60,99,81,93,36,35,38,48,99,53,91,57,97,50,81,52,71,38,48,36,56,58,97,78,87,82,94,6,3
male,group C,some high school,standard,none,49,49,41,99,96,100,79,71,85,85,88,49,44,51,49,52,84,44,69,82,87,91,61,52,97,37,58,50,98,78,89,98,70,89,36,66,83,35,55,48,35,74,56,82,42,41,86,72,89,100,80,35,6,4
male,group B,associate's degree,free/reduced,none,44,41,38,37,100,79,97,74,54,46,97,87,63,78,66,58,74,82,80,66,68,46,57,49,82,37,96,99,88,43,40,58,96,57,60,90,89,90,77,41,71,61,77,46,54,90,71,98,83,66,76,96,6,5
male,group E,some high school,standard,none,30,26,22,76,74,58,73,65,39,85,70,91,36,67,83,82,65,46,89,61,75,87,71,71,66,68,54,62,61,68,56,93,85,80,54,39,54,73,62,67,90,98,39,82,36,84,71,54,89,50,63,40,6,6
male,group A,bachelor's degree,standard,completed,80,78,81,93,60,48,90,53,98,85,70,58,71,53,86,43,61,60,69,43,55,94,57,99,36,57,45,79,54,95,96,93,97,63,87,46,83,57,77,43,89,77,36,76,87,58,45,75,65,97,45,38,6,7
female,group D,some high school,standard,completed,61,74,72,76,48,58,85,86,79,88,83,99,65,83,89,84,36,100,55,94,86,85,70,54,61,45,50,80,91,38,83,94,98,94,59,42,51,81,70,51,51,92,51,88,37,46,69,66,99,48,89,76,7,8
female,group E,master's degree,standard,none,62,68,68,44,59,44,86,43,96,83,70,41,42,98,36,64,57,45,89,69,72,93,92,90,96,41,80,93,100,87,61,50,68,55,40,80,74,84,65,59,88,59,78,56,76,35,36,71,48,87,59,40,6,9
female,group B,associate's degree,standard,none,47,49,50,92,42,35,52,90,45,44,71,52,45,65,85,70,62,87,65,80,65,42,72,86,38,68,73,97,81,92,64,65,41,83,59,83,87,44,80,39,82,70,64,84,51,72,65,87,54,91,64,57,6,0
male,group B,high school,free/reduced,none,49,45,45,74,80,40,48,88,89,43,74,55,95,71,65,78,78,60,75,42,37,83,55,51,60,90,90,73,74,52,78,50,49,75,59,47,84,50,100,52,36,99,35,94,70,64,94,35,65,93,48,57,6,1
male,group A,some college,free/reduced,completed,50,47,54,61,87,41,69,81,58,74,69,53,96,49,61,53,54,64,84,93,61,89,78,88,76,57,87,43,71,35,56,47,71,81,82,83,67,53,85,69,64,54,40,36,88,86,80,55,43,62,66,56,6,2
male,group E,associate's degree,standard,none,72,64,63,43,92,61,99,80,43,40,99,60,100,45,37,70,56,47,99,37,37,53,62,99,85,89,95,41,49,88,76,67,46,54,71,78,82,99,88,62,64,55,60,89,67,64,99,82,99,71,90,96,7,3
male,group D,high school,free/reduced,none,42,39,34,51,74,94,67,35,45,54,38,43,58,70,78,45,79,97,72,69,71,42,73,38,68,51,39,58,66,86,52,90,82,94,95,67,36,78,44,95,40,72,47,68,63,96,46,67,36,67,88,67,6,4
female,group C,some college,standard,none,73,80,82,38,36,82,81,40,51,43,96,85,83,46,66,84,54,40,43,84,38,91,36,36,77,62,38,49,67,58,56,40,50,81,74,69,85,83,98,71,51,80,84,52,71,41,68,53,68,40,95,85,6,5
female,group C,some college,free/reduced,none,76,83,88,53,89,76,77,55,46,76,69,63,68,96,67,36,40,43,48,53,99,57,76,95,48,87,37,57,37,64,74,44,94,98,69,98,48,80,59,98,96,42,54,42,89,78,50,57,95,77,82,87,6,6
female,group D,associate's degree,standard,none,71,71,74,86,76,100,79,44,44,38,52,50,71,41,48,51,77,86,52,64,70,86,42,89,90,69,51,91,88,46,100,53,86,67,52,35,62,70,38,62,50,39,78,44,46,67,56,88,47,82,74,61,6,7
female,group A,some college,standard,none,58,70,67,76,43,65,42,45,64,65,88,49,75,97,62,92,88,47,84,48,39,56,41,74,54,50,53,96,89,60,45,57,72,38,69,62,99,59,93,44,70,99,83,48,71,51,75,38,50,54,77,37,6,8
female,group D,some high school,standard,none,73,86,82,37,37,81,87,94,89,99,47,63,73,85,47,83,64,82,42,90,52,61,75,98,96,91,73,72,67,37,55,56,37,82,41,85,76,56,72,62,66,49,42,42,38,67,91,56,36,86,75,78,6,9
female,group C,bachelor's degree,standard,none,65,72,74,57,65,35,35,50,78,47,71,74,93,100,97,44,36,43,36,98,67,64,74,63,46,73,97,43,82,51,65,42,75,88,88,60,82,78,39,60,80,83,75,96,51,79,96,49,89,65,57,72,6,0
male,group C,high school,free/reduced,none,27,34,36,90,72,66,92,82,44,93,88,88,81,59,54,51,69,59,79,70,87,79,77,97,91,66,35,51,49,54,55,55,70,67,43,79,55,76,96,60,81,42,39,64,80,91,41,51,69,61,76,61,6,1
male,group C,high school,standard,none,71,79,71,70,80,77,91,65,85,66,84,78,72,39,71,72,74,74,85,94,38,90,91,44,85,56,37,87,38,81,80,79,44,86,51,40,96,65,54,43,38,76,65,83,83,36,42,54,51,35,54,98,6,2
male,group C,associate's degree,free/reduced,completed,43,45,50,69,93,53,44,93,97,42,61,65,35,45,47,56,53,65,84,38,57,39,75,49,77,63,83,96,65,71,94,67,42,94,39,72,35,40,74,66,45,66,85,87,84,92,36,50,80,71,70,46,6,3
female,group B,some college,standard,none,79,86,92,71,58,55,73,79,43,54,99,63,48,96,51,93,54,44,50,91,79,51,70,49,50,50,35,79,64,54,42,40,53,93,80,74,95,53,49,56,88,78,40,82,55,44,69,64,50,84,73,90,6,4
male,group C,associate's degree,free/reduced,completed,78,81,82,41,94,38,97,74,76,68,57,95,60,50,65,44,72,67,79,79,87,77,41,58,45,76,87,47,89,66,99,77,55,78,40,49,95,82,71,99,73,94,63,97,55,40,65,80,76,61,72,59,7,5
male,group B,some high school,standard,completed,65,66,62,49,36,44,87,45,63,36,50,65,36,37,56,91,45,80,72,97,98,68,66,75,76,57,67,44,88,57,77,89,40,85,63,48,65,74,73,94,64,49,100,96,54,53,81,55,50,72,53,82,6,6
female,group E,some college,standard,completed,63,72,70,55,58,83,36,66,71,35,44,93,68,40,83,65,92,79,47,49,46,80,83,72,81,80,40,74,58,63,82,91,72,58,100,88,91,38,83,90,72,85,53,91,52,85,51,71,55,57,50,77,6,7
female,group D,some college,free/reduced,none,58,67,62,84,43,90,40,53,91,42,38,77,82,63,70,73,87,53,100,69,61,65,40,45,98,57,88,73,86,44,51,79,61,68,81,85,57,97,95,38,54,59,75,95,67,91,99,55,66,36,99,78,6,8
female,group D,bachelor's degree,standard,none,65,67,62,46,74,55,56,40,89,52,90,100,93,41,48,98,84,73,66,85,61,39,91,76,84,95,37,83,89,52,40,56,97,89,56,87,87,51,71,81,95,95,67,66,81,97,38,77,67,90,94,39,7,9
male,group B,some college,standard,none,79,67,67,47,44,66,63,86,47,58,75,56,55,97,99,37,84,39,99,83,60,58,62,64,81,44,80,52,88,79,49,88,44,35,40,54,96,50,37,81,40,46,92,65,69,94,79,50,71,99,67,44,6,0
male,group D,bachelor's degree,standard,completed,68,74,74,42,52,54,35,84,56,41,70,70,71,82,46,65,54,99,85,57,45,99,35,60,55,78,86,48,43,49,44,84,76,60,54,59,42,99,39,51,57,52,72,44,87,78,42,98,69,36,72,82,6,1
female,group D,associate's degree,standard,none,85,91,89,56,81,78,78,99,50,65,71,57,81,35,42,86,67,35,62,47,82,80,69,41,74,55,75,35,85,57,76,84,85,37,43,96,84,52,71,59,73,67,38,96,56,92,79,64,96,44,93,80,6,2
male,group B,high school,standard,completed,60,44,47,64,99,81,37,95,61,57,76,39,97,58,50,42,64,60,73,96,83,73,60,84,89,53,86,86,87,35,82,41,55,94,57,72,48,96,67,62,55,67,52,80,80,59,36,50,57,36,89,95,6,3
male,group C,some college,standard,completed,98,86,90,88,82,98,46,95,73,99,44,99,89,83,77,56,93,62,51,71,81,39,68,83,55,98,50,78,84,69,58,55,83,81,95,87,93,87,44,67,45,40,48,87,73,83,44,93,47,56,54,100,7,4
female,group C,some college,standard,none,58,67,72,51,53,68,67,69,63,58,35,94,39,95,60,75,62,100,56,100,43,92,97,44,44,61,73,42,55,49,92,49,75,85,46,83,44,99,45,61,80,79,83,81,60,47,62,61,97,54,99,52,6,5
female,group D,master's degree,standard,none,87,100,100,77,41,70,87,62,99,80,51,68,38,41,74,65,79,62,50,46,68,38,36,49,35,88,85,53,70,58,79,97,82,52,84,45,38,56,70,48,37,50,97,91,67,61,65,38,62,78,83,45,6,6
male,group E,associate's degree,standard,completed,66,63,64,48,81,82,100,45,85,87,51,76,65,42,40,52,62,91,51,75,74,47,66,62,59,65,57,53,67,86,50,48,95,45,78,95,59,80,87,77,69,79,64,65,66,68,58,46,85,98,58,72,6,7
